From our study,we came to the conclusion that some GTs are missing in several of the videos. We concluded that the last GTs are missing. 
So you delete the last frames that are not connected with any GT.
VideoID Frames Sal_maps
001	487	487
002	640	639
003	1266	1251
004	1324	1308
005	642	634
006	1749	1731
007	551	551
008	1365	1349
009	884	876
010	566	565
011	800	793
012	548	548
013	640	634
014	800	792
015	960	953
016	824	821
017	1035	1034
018	688	687
019	807	806
020	981	980
021	713	713
022	768	768
023	896	893
024	1600	1595
025	640	639
026	609	608
027	1237	1237
028	1024	1024
029	768	764
030	768	768
031	640	635
032	1334	1274
033	896	895
034	637	636
035	739	739
036		
037	697	697
038	640	639
039	912	912
040	1760	1760
041	1440	1439
042	638	637
043	1718	1718
044	1440	1440
045	897	897
046	1005	1005
047	688	688
048	751	751
049	641	641
050	1239	1237
051	936	936
052	690	689
053	1746	1744
054	800	799
055	1152	1152
056	640	640
057	1368	1368
058	800	799
059	970	968
060	732	732
061		
062	1216	1216
063	675	674
064	682	682
065	640	640
066	768	768
067	1440	1440
068	1280	1280
069	640	640
070	640	597
071	1920	1920
072	1152	1149
073	689	689
074	1183	1183
075	1189	1187
076	2424	2420
077	589	589
078	1527	1526
079	752	751
080	1126	1125
081	808	807
082	1825	1825
083	987	986
084		
085	712	710
086		
087	742	736
088	1120	1117
089	746	744
090	640	628
091	1404	1395
092	1408	1408
093	985	373
094	640	532
095	1019	1010
096	662	651
097	1760	1743
098	621	620
099	678	673
100	723	721
101	802	793
102		
103	726	716
104	641	634
105	1724	1722
106	680	679
107		
108		
109	519	519
110	1021	1018
111	1212	1203
112	908	907
113	1616	1611
114	1782	1779
115	937	935
116	682	682
117	1411	1405
118	1170	1154
119	1028	966
120	1447	1360
121	1171	1137
122	913	904
123	1012	1000
124	458	434
125	1171	1141
126	1120	1094
127	2831	2463
128	1762	1703
129	1401	1368
130	987	983
131	
132	1546	1237
133	1170	798
134	994	650
135	801	667
136	938	929
137	664	634
138	1090	1068
139	1152	1125
140	843	778
141	1688	1661
142	991	971
143	1065	1055
144	1074	1072
145	1141	1140
146	1412	1412
147	1067	1067
148	871	871
149	1358	1358
150	850	850
151	1428	1428
152	929	929
153	1450	1393
154	878	878
155	572	572
156	914	914
157	847	847
158	1471	1470
159	756	749
160	1171	1171
161	1230	1227
162	584	584
163	1412	1410
164	1220	1218
165	1208	1208
166	640	593
167	715	712
168	721	718
169	1162	1138
170	721	721
171	1222	1119
172	1532	1502
173	1148	1148
174	1312	1290
175	1366	1354
176	1277	1076
177	1011	861
178	1458	1458
179	1479	1477
180	849	847
181	1242	1242
182	978	976
183	968	967
184	1386	1383
185	1164	1162
186	696	696
187	1212	1205
188	692	690
189	908	878
190	1268	1262
191	1203	1203
192	1066	1065
193	1340	1336
194	795	795
195	1778	1775
196	950	947
197	559	559
198	1295	1292
199	1201	1200
200	852	852
201	976	976
202	1226	1224
203	1475	1463
204	1320	1302
205	776	776
206	676	675
207		
208	1036	1034
209	770	770
210	849	849
211	871	866
212	1330	1325
213	902	877
214	909	874
215	1030	1012
